Age,Gender,College_Tier,Specialization,CGPA,DSA_Problems_Solved,Internships,Certifications,Projects_Count,Communication_Skills,Aptitude_Test_Score,LeetCode_Rating,GitHub_Contributions,Hackathons_Participated,AI_ML_Skill_Level,System_Design_Knowledge,Resume_Score,Mock_Interview_Score,Placement_Status,Salary_LPA
19,Male,Tier 3,AI/ML,7.7,229,0,1,11,87,46,1676,241,6,1,1,50,62,1,9.99
21,Other,Tier 3,Civil,6.97,486,0,10,12,74,88,1718,82,3,8,10,62,35,1,13.06
20,Other,Tier 2,Electronics,6.74,180,0,5,2,45,83,1534,0,1,6,6,83,68,1,7.74
18,Other,Tier 2,Computer Science,6.64,98,4,6,2,75,72,1559,47,5,10,4,90,43,1,12.29
18,Other,Tier 2,Electronics,8.67,216,4,3,2,64,70,1473,6,7,6,3,68,80,1,14.45
21,Other,Tier 2,Information Technology,7.31,77,2,9,11,50,66,1581,71,2,8,7,62,63,1,13.06
23,Male,Tier 2,Computer Science,6.6,527,3,6,5,44,62,1445,35,5,4,8,70,93,1,14.23
20,Female,Tier 1,Information Technology,5.98,281,2,4,12,77,89,800,13,6,6,4,53,100,1,12.38
25,Male,Tier 3,Data Science,7.94,275,0,10,3,90,89,1409,95,1,7,7,83,94,1,9.49
22,Other,Tier 3,Computer Science,6.48,180,2,1,11,96,69,1819,147,5,2,5,72,55,1,7.66
25,Male,Tier 3,Information Technology,7.52,192,1,8,3,72,48,1213,168,4,9,10,57,54,1,15.48
23,Male,Tier 2,Data Science,8.13,124,3,0,10,60,97,1341,146,0,2,6,98,74,1,15.16
21,Male,Tier 2,Civil,6.72,222,3,1,12,71,43,1062,24,8,3,3,87,95,1,14.0
20,Female,Tier 2,Civil,8.56,239,1,3,9,88,60,1801,148,4,7,6,73,92,1,12.36
19,Male,Tier 2,Electronics,7.56,480,0,8,4,77,63,1437,245,0,2,1,59,43,1,5.41
18,Female,Tier 1,AI/ML,8.02,263,1,7,4,74,51,1345,127,7,4,8,96,87,1,8.34
21,Male,Tier 1,Mechanical,6.98,303,1,6,8,95,41,1967,78,1,1,7,91,78,1,8.97
19,Male,Tier 1,Civil,6.7,387,1,6,3,57,94,1565,77,3,2,8,96,47,1,11.69
18,Other,Tier 3,Data Science,7.3,395,0,1,4,50,87,1204,93,7,8,4,100,86,1,11.46
18,Male,Tier 2,Mechanical,5.74,294,1,7,5,67,97,1541,120,2,4,5,58,42,1,10.02
18,Other,Tier 2,Computer Science,5.78,186,2,8,9,50,42,1330,55,8,2,3,49,43,1,10.3
21,Female,Tier 1,Civil,7.6,532,0,9,1,79,45,1511,140,6,10,10,78,75,1,12.93
22,Male,Tier 3,Electronics,5.28,246,0,6,3,82,73,1471,317,7,6,2,45,93,1,9.64
19,Male,Tier 2,Civil,7.5,244,1,5,2,96,66,1040,211,5,5,3,73,73,1,13.7
18,Other,Tier 3,Electronics,7.99,113,3,1,3,56,49,1940,7,1,9,3,62,71,1,16.37
21,Other,Tier 2,Information Technology,9.39,101,2,4,9,71,67,1251,127,0,2,7,98,70,1,12.51
18,Male,Tier 2,AI/ML,5.65,260,2,4,3,87,91,1078,157,8,7,9,45,49,1,10.18
19,Other,Tier 3,Civil,8.75,132,0,5,10,75,53,1337,185,6,3,1,64,81,1,9.44
18,Female,Tier 2,AI/ML,7.43,446,2,5,9,96,87,887,134,2,4,3,96,57,1,13.06
24,Male,Tier 1,Electronics,7.98,64,2,6,11,95,66,987,161,4,3,2,69,39,1,13.28
25,Male,Tier 1,Mechanical,7.45,301,1,3,4,41,59,1211,138,6,6,5,100,43,1,13.05
22,Female,Tier 3,Mechanical,6.49,529,2,8,6,100,38,1615,24,1,5,3,82,68,1,13.41
18,Male,Tier 3,Electronics,6.23,368,2,5,7,78,100,1855,54,1,7,10,57,67,1,14.41
18,Other,Tier 2,Civil,7.61,373,3,8,11,86,60,2113,100,5,7,2,87,77,1,12.78
23,Other,Tier 3,Information Technology,6.31,127,3,8,5,82,87,1423,147,5,7,5,80,51,1,13.8
21,Female,Tier 3,Mechanical,8.03,251,2,2,10,76,73,1958,98,6,9,1,64,71,1,19.96
21,Female,Tier 3,Civil,7.83,121,2,7,8,68,62,1075,158,8,8,3,87,45,1,13.62
22,Other,Tier 3,Civil,7.91,320,1,3,11,59,63,1424,52,3,3,1,47,66,1,8.9
25,Other,Tier 3,Computer Science,6.75,378,1,10,10,52,84,1524,20,7,7,4,54,35,1,12.55
19,Female,Tier 2,Data Science,7.59,117,4,8,8,43,66,1503,124,1,8,3,96,94,1,12.99
23,Female,Tier 3,Information Technology,7.56,334,3,6,9,68,55,1829,204,7,8,5,93,66,1,11.79
22,Other,Tier 2,AI/ML,6.26,327,1,1,12,58,65,1629,161,4,6,6,79,45,1,19.21
20,Male,Tier 2,Information Technology,7.77,420,0,3,2,66,87,1783,172,5,9,8,71,42,1,12.29
21,Female,Tier 2,Data Science,7.96,134,2,0,10,64,96,1367,81,0,6,5,93,84,1,13.73
24,Other,Tier 3,Civil,9.51,0,2,3,8,54,69,1690,0,6,8,1,69,78,1,14.46
24,Other,Tier 1,Mechanical,8.29,259,3,9,9,41,85,1072,62,0,2,7,53,94,1,14.69
20,Male,Tier 2,Electronics,6.47,282,0,5,6,88,83,1465,67,4,7,5,98,45,1,15.56
25,Male,Tier 3,Computer Science,7.83,0,4,5,4,81,43,1515,67,0,1,4,57,37,1,15.07
20,Male,Tier 1,Information Technology,6.41,232,0,3,8,84,67,1626,189,5,3,10,83,49,1,7.63
20,Female,Tier 1,Computer Science,6.87,178,3,9,11,98,83,1221,261,6,4,2,82,66,1,13.61
19,Other,Tier 3,Data Science,5.94,387,2,1,10,90,40,2192,202,5,9,7,87,82,1,9.81
19,Other,Tier 3,Computer Science,6.72,440,3,7,2,67,81,1202,155,7,3,7,56,69,1,13.93
25,Female,Tier 2,Information Technology,6.27,241,2,5,4,93,46,800,38,4,8,4,93,94,1,12.31
24,Female,Tier 1,Data Science,5.95,494,1,7,4,62,68,949,84,5,5,10,89,70,1,11.22
18,Other,Tier 3,Computer Science,8.64,34,0,6,8,75,65,1857,120,7,8,8,95,37,1,11.35
19,Female,Tier 2,Information Technology,7.66,279,0,10,10,63,95,1239,125,8,9,6,72,77,1,12.06
23,Other,Tier 2,Electronics,7.31,349,1,1,12,52,75,2005,20,1,9,3,57,62,1,17.51
25,Female,Tier 3,Data Science,5.25,227,1,4,2,93,59,1655,142,4,4,6,56,73,1,8.85
18,Other,Tier 2,Electronics,6.99,176,0,0,9,58,51,1243,187,7,2,1,81,71,1,10.91
25,Female,Tier 2,AI/ML,6.51,384,4,4,8,47,43,1557,185,6,8,2,81,41,1,15.67
20,Male,Tier 3,Electronics,6.37,165,0,3,2,75,88,1711,168,3,9,7,73,91,1,11.75
22,Other,Tier 3,Electronics,7.32,441,2,0,10,87,47,1242,163,3,4,5,87,45,1,12.05
20,Male,Tier 1,Computer Science,6.98,414,0,6,8,84,95,1738,185,4,1,4,63,71,1,12.49
25,Male,Tier 3,Electronics,7.22,352,2,10,10,82,60,1341,145,6,2,9,59,54,1,11.52
22,Male,Tier 1,AI/ML,7.3,339,2,9,12,92,71,1163,287,7,2,8,89,73,1,9.83
24,Female,Tier 2,Mechanical,5.99,423,1,9,1,96,90,1727,169,5,10,5,46,46,1,13.75
21,Other,Tier 3,Civil,7.19,115,2,0,11,92,69,1476,65,0,3,8,78,91,1,14.0
22,Male,Tier 3,Mechanical,7.05,126,2,7,2,70,79,1337,153,6,6,6,87,48,1,11.71
20,Female,Tier 2,Mechanical,6.38,286,1,6,9,42,93,1535,79,1,6,5,65,49,1,10.66
24,Other,Tier 3,Computer Science,7.43,32,2,8,8,66,41,957,62,3,9,6,84,98,1,13.62
25,Male,Tier 2,Civil,7.51,471,0,4,8,96,97,1750,107,1,1,10,96,65,1,10.27
20,Female,Tier 3,Civil,6.2,247,1,3,2,69,50,1348,145,2,8,5,77,69,1,10.41
24,Female,Tier 3,AI/ML,7.72,479,1,2,7,52,100,1411,152,2,2,5,94,88,1,12.86
23,Other,Tier 2,Computer Science,6.8,283,1,4,10,77,97,1454,127,2,8,9,75,79,1,10.99
23,Other,Tier 3,Mechanical,7.22,324,1,5,4,84,65,1957,196,6,4,7,47,75,1,15.98
25,Other,Tier 3,Mechanical,6.43,380,1,10,11,49,98,1514,295,0,3,9,82,77,1,9.13
19,Female,Tier 1,Mechanical,6.36,160,0,2,7,95,54,800,77,1,8,5,66,85,1,9.97
19,Female,Tier 3,Data Science,7.35,301,1,5,11,85,97,2106,196,8,1,10,49,65,1,9.73
22,Male,Tier 3,Mechanical,6.3,323,4,10,12,95,47,987,266,7,3,5,46,40,1,15.1
23,Male,Tier 2,Electronics,6.73,0,1,3,9,66,58,1923,110,2,3,2,84,83,1,13.46
21,Female,Tier 3,AI/ML,5.61,160,0,10,5,69,67,1451,123,0,8,5,88,55,1,9.99
19,Female,Tier 3,Civil,7.82,89,1,6,12,56,93,1400,129,4,4,7,99,96,1,13.18
19,Male,Tier 2,Electronics,7.91,81,2,4,1,93,85,913,222,4,1,10,100,41,1,12.69
25,Female,Tier 3,AI/ML,6.45,482,2,5,4,80,59,1490,214,4,3,2,85,40,1,11.6
22,Female,Tier 1,Electronics,9.26,513,2,1,5,60,88,1362,197,2,4,3,95,81,1,15.3
22,Male,Tier 2,Data Science,8.57,105,3,4,12,95,78,1690,204,1,8,2,54,63,1,11.84
24,Other,Tier 2,Data Science,6.02,0,1,4,9,47,93,1355,177,5,5,10,69,82,1,14.02
19,Other,Tier 2,Computer Science,7.27,494,2,8,6,98,63,966,0,1,8,5,86,87,1,13.5
19,Male,Tier 1,Computer Science,7.58,245,1,7,2,46,65,800,112,8,3,7,74,82,1,9.06
24,Other,Tier 3,AI/ML,7.87,304,3,10,2,93,97,1121,78,6,5,1,89,82,1,11.78
21,Female,Tier 2,AI/ML,7.14,393,3,1,11,63,80,1104,160,0,7,5,57,50,1,12.85
25,Male,Tier 3,Information Technology,6.41,233,2,0,1,90,77,1087,75,3,3,10,58,43,1,9.03
21,Other,Tier 2,Data Science,9.16,255,0,2,10,40,70,1205,137,2,3,9,61,57,1,12.0
19,Other,Tier 3,AI/ML,6.98,342,0,3,10,60,37,1715,77,2,5,1,53,88,1,9.93
19,Other,Tier 1,Mechanical,6.92,0,2,8,10,46,92,919,229,8,4,10,47,73,1,15.43
25,Other,Tier 3,Computer Science,6.95,336,4,6,7,83,48,1558,366,7,8,2,50,76,1,17.0
20,Male,Tier 1,Civil,7.07,106,2,8,12,60,83,887,136,8,5,8,77,90,1,11.04
19,Other,Tier 1,Information Technology,5.78,153,2,8,12,95,62,1071,254,6,8,4,71,78,1,14.19
25,Female,Tier 2,Computer Science,7.19,471,1,5,11,56,82,1477,51,2,8,2,50,45,1,15.9
19,Female,Tier 1,Information Technology,7.74,94,1,2,9,43,77,1383,49,1,7,6,100,89,1,10.23
18,Female,Tier 3,Electronics,8.13,536,0,8,4,49,96,960,165,3,2,6,99,82,1,9.8
19,Female,Tier 3,Data Science,6.71,161,1,8,10,79,38,1147,123,4,1,3,62,74,1,8.71
23,Female,Tier 1,Data Science,7.47,242,0,10,7,44,53,1366,47,0,2,9,58,83,1,9.42
24,Female,Tier 2,Electronics,7.96,325,1,5,10,78,45,1107,127,0,3,3,93,41,1,13.47
19,Female,Tier 2,Mechanical,5.53,331,1,7,7,57,62,1218,165,8,2,6,72,49,1,8.2
